,time,F8,F4,F3,F7
361,1.444,0.075969813,0.098403211,0.073336758,0.119021281
362,1.448,0.075978297,0.098410352,0.073330453,0.119031742
363,1.452,0.075957039,0.098399148,0.073341281,0.11901534374999999
364,1.456,0.075944062,0.098390266,0.073358148,0.11900284374999999
365,1.46,0.075967,0.098405055,0.073358586,0.119024063
366,1.464,0.075966797,0.09840368,0.073332938,0.119021484
367,1.468,0.075976383,0.098410078,0.073325359,0.119032109
368,1.472,0.075957945,0.09839932,0.073334781,0.119014813
369,1.476,0.075946313,0.098389797,0.073350305,0.11900300781249999
370,1.48,0.075969109,0.098403008,0.073350875,0.119026813
371,1.484,0.075970922,0.098401461,0.073326328,0.11902553906249999
372,1.488,0.075980844,0.098409711,0.073320594,0.11903690624999999
373,1.492,0.075960156,0.098399352,0.073332734,0.119021453
374,1.496,0.075945172,0.098389195,0.07335007,0.119009477
375,1.5,0.075967734,0.098402641,0.073351008,0.119030703
376,1.504,0.075967672,0.098401867,0.073326398,0.11902872656249999
377,1.508,0.075975383,0.098409711,0.07331932,0.11903925
378,1.512,0.075956406,0.098398484,0.07332925,0.11902164843749999
379,1.516,0.075944539,0.098389563,0.073345914,0.11900985156249999
380,1.52,0.075968242,0.098403875,0.07334675,0.119032813
381,1.524,0.075968906,0.098402602,0.073322008,0.11903234374999999
382,1.528,0.075977055,0.098410648,0.073317477,0.11904418
383,1.532,0.075957008,0.098399758,0.073328641,0.119027047
384,1.536,0.075943664,0.098390836,0.073344203,0.11901518
385,1.54,0.075965992,0.098404617,0.073343531,0.11903882031249999
386,1.544,0.075966898,0.098403109,0.073317914,0.119036969
387,1.548,0.075974773,0.09841025,0.073311945,0.119046727
388,1.552,0.075954492,0.098399484,0.073321773,0.11902892968749999
389,1.556,0.075942086,0.098390938,0.073338234,0.11901789843749999
390,1.56,0.075964883,0.098404484,0.073338867,0.119042703
391,1.564,0.075966594,0.098402672,0.073313188,0.119041867
392,1.568,0.075973703,0.098410219,0.073307656,0.119054641
393,1.572,0.075953219,0.098399555,0.073318422,0.11904056249999999
394,1.576,0.075940211,0.098390336,0.073334344,0.119031875
395,1.58,0.075962672,0.098403641,0.073334508,0.119055813
396,1.584,0.075962773,0.098401664,0.073309234,0.11905457812499999
397,1.588,0.075971023,0.098408875,0.073302727,0.11906557
398,1.592,0.075951609,0.098398578,0.073313859,0.11904753124999999
399,1.596,0.075939844,0.098390031,0.073331766,0.11903579687499999
400,1.6,0.075962273,0.09840418,0.073331695,0.11905973437499999
401,1.604,0.075963039,0.098401867,0.073305141,0.119058867
402,1.608,0.07597193,0.098409211,0.073298773,0.119069664
403,1.612,0.075952953,0.098398281,0.073310172,0.119053906
404,1.616,0.075941086,0.098389594,0.073326836,0.119043781
405,1.62,0.07596482,0.098404516,0.073327602,0.11906782031249999
406,1.624,0.07596757,0.098403344,0.073302695,0.119067211
407,1.628,0.075978195,0.098410383,0.073297398,0.11907794531249999
408,1.632,0.075955602,0.098398914,0.073308563,0.119061414
409,1.636,0.075942422,0.098390164,0.073324086,0.119050617
410,1.64,0.075965219,0.098404016,0.073323781,0.11907428906249999
411,1.644,0.075965156,0.098402031,0.073299477,0.119073352
412,1.648,0.075973203,0.098409781,0.073295016,0.11908407812499999
413,1.652,0.075953586,0.098399148,0.073306148,0.119066641
414,1.656,0.075942289,0.098390969,0.073321969,0.11905450781249999
415,1.66,0.075966164,0.09840468,0.073321539,0.119076938
416,1.664,0.075966633,0.098402977,0.073295352,0.11907478906249999
417,1.668,0.075973602,0.098410789,0.073288477,0.11908582
418,1.672,0.075953086,0.098399484,0.07329968,0.11907046874999999
419,1.676,0.075939438,0.098389766,0.073317109,0.119060508
420,1.68,0.075963477,0.098403875,0.073317945,0.11908317187499999
421,1.684,0.075965359,0.098401898,0.073293305,0.11908176562499999
422,1.688,0.075973672,0.09840918,0.073286266,0.119092328
423,1.692,0.07595493,0.098398211,0.073295617,0.11907421874999999
424,1.696,0.075943898,0.098390531,0.073310977,0.119061414
425,1.7,0.075965391,0.098405016,0.073311078,0.119084648
426,1.704,0.075965727,0.098402602,0.073286336,0.119083477
427,1.708,0.075973539,0.098409375,0.073280328,0.119095477
428,1.712,0.075954695,0.098398211,0.073290859,0.119078781
429,1.716,0.07594293,0.098389797,0.073307188,0.119066813
430,1.72,0.075963945,0.098404414,0.073308055,0.119088672
431,1.724,0.075963312,0.098402266,0.073283414,0.119086188
432,1.728,0.07597193,0.098408375,0.073277313,0.11909732031249999
433,1.732,0.075952914,0.098396602,0.0732865,0.11908039062499999
434,1.736,0.07594075,0.098388188,0.073301789,0.11906865624999999
435,1.74,0.075963812,0.098402469,0.073300984,0.119091156
436,1.744,0.075965219,0.0984015,0.073275102,0.119089242
437,1.748,0.075972867,0.098408742,0.073269266,0.119101211
438,1.752,0.075952414,0.098397172,0.073280398,0.119085086
439,1.756,0.075941219,0.098387883,0.073297227,0.119074359
440,1.76,0.075964555,0.098400961,0.073298438,0.11909648437499999
441,1.764,0.075966461,0.098399383,0.073272984,0.119093602
442,1.768,0.075974539,0.098408438,0.073266586,0.119103727
443,1.772,0.075955531,0.098397477,0.073277813,0.119087766
