,time,F8,F4,F3,F7,,
2185,8.74,0.11799668,0.14725025,0.113623875,0.125750742,,
2186,8.744,0.118001742,0.14725460937499998,0.113629273,0.125756477,,
2187,8.748,0.118007102,0.147258906,0.11363493749999999,0.12576278124999998,,
2188,8.752,0.11800492187499999,0.147256219,0.113632922,0.125761203,,
2189,8.756,0.11799889062499999,0.147250563,0.11362742968749999,0.125755742,,
2190,8.76,0.117996344,0.147247844,0.113625344,0.125753563,,
2191,8.764,0.118001234,0.14725153124999998,0.11363068,0.125758719,,
2192,8.768,0.118006602,0.14725525,0.11363651562499999,0.125764352,,
2193,8.772,0.11800499218749999,0.147252578,0.113635336,0.125762313,,
2194,8.776,0.118,0.147247109,0.11363050781249999,0.12575614062499998,,
2195,8.78,0.11799778124999999,0.14724418749999998,0.11362856249999999,0.125753391,,
2196,8.784,0.118002477,0.147247703,0.11363403124999999,0.12575882,,
2197,8.788,0.118007742,0.147251359,0.113640063,0.125764688,,
2198,8.792,0.118005664,0.14724825,0.11363859374999999,0.125762578,,
2199,8.796,0.118000234,0.147242313,0.113633797,0.12575735156249998,,
2200,8.8,0.11799798437499999,0.14723989062499998,0.113632422,0.125755,,
2201,8.804,0.118003219,0.147243953,0.113638023,0.125759859,,
2202,8.808,0.118008414,0.147247516,0.11364361718749999,0.12576569531249998,,
2203,8.812,0.118006336,0.14724448437499998,0.11364194531249999,0.125763883,,
2204,8.816,0.118000938,0.147238859,0.113636945,0.125758016,,
2205,8.82,0.117998289,0.147236047,0.113634836,0.12575560156249999,,
2206,8.824,0.118003281,0.14724029687499998,0.11364053906249999,0.125761438,,
2207,8.828,0.118008445,0.147243984,0.113646336,0.125767375,,
2208,8.832,0.118006297,0.147241234,0.113644797,0.125765797,,
2209,8.836,0.118000297,0.147235531,0.11363959374999999,0.125760266,,
2210,8.84,0.11799782,0.147232625,0.11363775,0.125757953,,
